participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,analysis_window_start_sec,analysis_window_end_sec,source_log,included_step5_analysis,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used
PID002,2025-11-06_PID002,C4,2,11,2020_CH_84,Concrete,1619.513666,1699.131545,79.6178789999999,1616.013666,1632.713666,1617.513666,1619.513666,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-6.471389615426794e-09,-1.4744301416048013e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,C4,3,12,2020_CH_82,Concrete,1703.306075,1765.020963,61.71488799999997,1699.806075,1716.506075,1701.306075,1703.306075,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.3644765617555615e-08,2.1734734257010234e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,C5,1,13,2017_CH_68,Concrete,1947.892999,2062.75919,114.8661910000003,1944.392999,1961.092999,1945.892999,1947.892999,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-1.197542011206159e-07,-6.669752007722338e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,C5,2,14,2020_CH_56,Concrete,2066.573247,2097.503395,30.930148000000372,2063.073247,2079.7732469999996,2064.573247,2066.573247,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-9.786419226946757e-08,-4.662937143284014e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,C5,3,15,2017_CH_69,Concrete,2102.576057,2196.486411,93.91035399999964,2099.076057,2115.776057,2100.576057,2102.576057,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-5.0403741318035844e-08,-5.062036594177825e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A1,1,16,2019_CH_56,Abstract,2371.152154,2472.194161,101.04200700000001,2367.652154,2384.3521539999997,2369.152154,2371.152154,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-1.841552199398149e-09,7.319306629602528e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A1,2,17,2021_CH_65,Abstract,2477.050044,2529.951474,52.90142999999989,2473.550044,2490.250044,2475.050044,2477.050044,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.439441610093636e-07,4.123021605610212e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A1,3,18,2020_CH_77,Abstract,2533.726853,2627.419573,93.69272000000001,2530.226853,2546.926853,2531.726853,2533.726853,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.5031305413947128e-08,-1.7416074186290202e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A2,1,19,2021_CH_57,Abstract,2795.732738,2878.113075,82.38033700000005,2792.232738,2808.932738,2793.732738,2795.732738,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,2.3025897211458027e-08,1.491186797795195e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A2,2,20,2020_CH_76,Abstract,2882.282862,3028.823153,146.5402909999998,2878.782862,2895.482862,2880.282862,2882.282862,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.3468013128546477e-08,4.462183937337653e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A2,3,21,2021_CH_86,Abstract,3033.925412,3127.092155,93.16674299999977,3030.425412,3047.125412,3031.925412,3033.925412,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-4.728178647934146e-08,-8.918149564980279e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A3,1,22,2020_LC_31,Abstract,3221.367833,3320.778287,99.4104540000003,3217.867833,3234.5678329999996,3219.367833,3221.367833,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,2.03563425371219e-08,-1.3650834808857941e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A3,2,23,2022_CH_51,Abstract,3326.099022,3404.131664,78.03264200000012,3322.599022,3339.2990219999997,3324.099022,3326.099022,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.7080322003981688e-09,2.244750591625902e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A3,3,24,2022_CH_47,Abstract,3408.335661,3526.194994,117.85933299999988,3404.835661,3421.535661,3406.335661,3408.335661,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-6.775396764668254e-08,-1.4360930743571871e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A4,1,25,2019_CH_64,Abstract,3642.805865,3740.379598,97.57373300000017,3639.305865,3656.0058649999996,3640.805865,3642.805865,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-3.7330583048800455e-08,-2.2074362001506434e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A4,2,26,2022_CH_71,Abstract,3744.361973,3825.048058,80.68608499999982,3740.861973,3757.561973,3742.361973,3744.361973,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,7.23439547768291e-08,-9.126795036785648e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A4,3,27,2021_CH_51,Abstract,3829.108376,3905.16913,76.06075400000009,3825.608376,3842.308376,3827.108376,3829.108376,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.667469017920619e-08,2.5602539776478467e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A5,1,28,2022_CH_60,Abstract,4066.078606,4144.182711,78.10410500000035,4062.578606,4079.278606,4064.078606,4066.078606,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,1.234814358569116e-07,2.4917951343207625e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A5,2,29,2019_CH_65,Abstract,4147.922892,4204.589195,56.66630299999997,4144.422892,4161.122891999999,4145.922892,4147.922892,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-2.588983802454475e-09,4.076364765197448e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID002,2025-11-06_PID002,A5,3,30,2021_CH_83,Abstract,4209.350319,4333.018862,123.66854299999977,4205.850319,4222.550319,4207.350319,4209.350319,7.0,11.0,enem_blocks_PID002_20251106_162601.csv,True,-4.415727944482849e-08,1.6097151906350863e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C1,1,1,2020_CH_56,Concrete,177.666626,204.551872,26.885245999999995,174.166626,190.866626,175.666626,177.666626,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-3.7761309896033024e-07,2.4967910452508615e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C1,2,2,2017_CH_75,Concrete,209.10806,270.310434,61.20237399999999,205.60806,222.30805999999998,207.10806,209.10806,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,3.0833040812550827e-07,8.36309965271951e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C1,3,3,2020_CH_78,Concrete,274.310587,316.76921,42.45862299999999,270.810587,287.510587,272.310587,274.310587,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,8.760061520564807e-08,-4.749272888589562e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C2,1,4,2017_CH_47,Concrete,598.516963,652.166364,53.64940100000001,595.016963,611.7169630000001,596.516963,598.516963,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,4.1722621730774044e-07,-4.812820840609181e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C2,2,5,2017_CH_69,Concrete,656.107256,751.7017,95.59444399999995,652.607256,669.307256,654.107256,656.107256,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-6.535794621622626e-07,-1.1506062816455508e-07,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C2,3,6,2018_LC_44,Concrete,755.563846,874.198282,118.63443599999994,752.063846,768.7638460000001,753.563846,755.563846,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-3.536806027914467e-07,-1.181329155187134e-07,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C3,1,7,2021_LC_26,Concrete,1021.180053,1189.814617,168.63456399999995,1017.680053,1034.380053,1019.180053,1021.180053,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,7.614275653094631e-08,-4.02344006103902e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C3,2,8,2020_CH_82,Concrete,1194.955691,1260.421068,65.46537700000022,1191.455691,1208.155691,1192.955691,1194.955691,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,9.452688395247454e-07,-6.115057679220691e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C3,3,9,2020_CH_84,Concrete,1264.67381,1343.807221,79.13341100000002,1261.17381,1277.87381,1262.67381,1264.67381,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-6.788968725153299e-07,-2.979192571146706e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C4,1,10,2021_CH_76,Concrete,1442.905143,1540.377311,97.47216800000001,1439.405143,1456.105143,1440.905143,1442.905143,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,1.9607248148899104e-07,-3.123665441217719e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C4,2,11,2020_CH_70,Concrete,1544.147289,1638.577637,94.4303480000001,1540.647289,1557.347289,1542.147289,1544.147289,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-2.7041988195136305e-07,-4.0291546604279534e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C4,3,12,2017_CH_68,Concrete,1642.263312,1721.931584,79.66827199999989,1638.763312,1655.463312,1640.263312,1642.263312,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-7.620588393510104e-07,6.119677257154737e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C5,1,13,2020_CH_59,Concrete,1864.585644,1935.363915,70.7782709999999,1861.085644,1877.785644,1862.585644,1864.585644,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,2.736301945868704e-07,-1.1369755617872356e-07,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C5,2,14,2018_CH_77,Concrete,1940.135017,2015.28515,75.15013299999987,1936.635017,1953.335017,1938.135017,1940.135017,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,1.80255521982487e-08,-2.1044666155252567e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,C5,3,15,2021_CH_46,Concrete,2019.04203,2100.221917,81.17988699999978,2015.54203,2032.24203,2017.04203,2019.04203,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,5.878329260045204e-08,-4.5160099479790415e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A1,1,16,2019_CH_65,Abstract,2285.832481,2336.219927,50.38744600000018,2282.332481,2299.0324809999997,2283.832481,2285.832481,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-7.939522250637022e-08,-2.0974887412461037e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A1,2,17,2022_CH_71,Abstract,2341.642396,2424.423051,82.78065500000002,2338.142396,2354.842396,2339.642396,2341.642396,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-4.94511223185554e-07,-1.3713150058347325e-07,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A1,3,18,2022_CH_51,Abstract,2428.80015,2525.071685,96.27153499999986,2425.30015,2442.00015,2426.80015,2428.80015,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-6.597852899442165e-07,1.1032607203503858e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A2,1,19,2021_CH_83,Abstract,2708.809331,2793.613966,84.80463499999996,2705.309331,2722.0093309999997,2706.809331,2708.809331,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-4.203205072965144e-07,1.5861151795000786e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A2,2,20,2021_CH_57,Abstract,2797.480802,2860.036603,62.555800999999974,2793.980802,2810.680802,2795.480802,2797.480802,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-1.1125330798900706e-07,-4.5266535092755876e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A2,3,21,2020_CH_77,Abstract,2863.587367,2966.153886,102.56651899999997,2860.087367,2876.787367,2861.587367,2863.587367,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-1.8032725838390551e-07,-3.567073096354321e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A3,1,22,2022_CH_60,Abstract,3130.286967,3182.038165,51.75119799999993,3126.786967,3143.486967,3128.286967,3130.286967,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,6.852805869898738e-07,-6.979902057942442e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A3,2,23,2021_CH_65,Abstract,3186.021094,3294.51894,108.49784599999975,3182.521094,3199.221094,3184.021094,3186.021094,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-6.829166799948716e-07,1.639159855586809e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A3,3,24,2022_CH_47,Abstract,3299.091629,3412.36751,113.27588100000003,3295.591629,3312.291629,3297.091629,3299.091629,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,8.708670084506156e-08,-1.0522260259387696e-07,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A4,1,25,2021_CH_86,Abstract,3551.512706,3609.752241,58.23953500000016,3548.012706,3564.712706,3549.512706,3551.512706,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,2.1653086036331283e-07,-3.776248156182089e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A4,2,26,2021_CH_51,Abstract,3613.857087,3687.040467,73.18337999999994,3610.357087,3627.0570869999997,3611.857087,3613.857087,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,1.882846253826565e-07,3.7411980052747234e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A4,3,27,2019_CH_64,Abstract,3691.546406,3744.36667,52.82026399999995,3688.046406,3704.7464059999998,3689.546406,3691.546406,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,-1.118641345686257e-07,-1.2205884820983645e-07,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
PID003,2025-11-11_003,A5,1,28,2019_CH_56,Abstract,3973.169013,4058.383122,85.21410900000001,3969.669013,3986.369013,3971.169013,3973.169013,7.0,11.0,enem_blocks_PID003_20251111_140525.csv,True,6.522163604813528e-07,-9.632167565468785e-08,7,7,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr
